ecount_prod_cd,ecount_prod_des,ecount_out_price2,ecount_prev_price,cafe24_product_code,cafe24_product_name,cafe24_product_no,매칭상태,최종업데이트
(1)800씽크경유18,유압 씽크경첩(110도),,,P0000BLX,씽크경첩 110도 18T 일반 / 유압,,성공,
(1)800서랍레일300,300mm,,,P0000BLV,3단 고급 서랍레일피스포함,,성공,
(1)800서랍레일350,350mm,,,P0000BLV,3단 고급 서랍레일피스포함,,성공,
(1)800서랍레일400,400mm,,,P0000BLV,3단 고급 서랍레일피스포함,,성공,
(1)800서랍레일450,450mm,,,P0000BLV,3단 고급 서랍레일피스포함,,성공,
(1)60010그라스울기본,24K 50 x 450 x 1000,,,P0000BLR,KCC/벽산 그라스울 (1봉지/28장)24K 50 x 450 x 1000,,성공,
(1)800플로3,플로베니아(플라스틱) 보양재 3T x 900 x 1800,,,P0000BLQ,플로베니아 백색 900*1800,,성공,
(1)800골판지,종이 롤보양재 3T x 1100 x 40M,,,P0000BLQ,플로베니아 백색 900*1800,,성공,
(1)100자나무,11.5T x 56mm x 2440mm (1개),,,P0000BLN,자나무(미장용)56 x 2440mm,,성공,
(1)800헤라소,실리콘 마감용 헤라 (소),,,P0000BLC,실리콘 마감용 헤라,,성공,
(1)800헤라중,실리콘 마감용 헤라 (중),,,P0000BLC,실리콘 마감용 헤라,,성공,
(1)800헤라대,실리콘 마감용 헤라 (대),,,P0000BLC,실리콘 마감용 헤라,,성공,
,20T x 915 x 1900,,,,,,실패,
,20T x 915 x 2000,,,,,,실패,
,20T x 915 x 2200,,,,,,실패,
,-------------------,,,,,,실패,
,20 x 1000 x 1800,,,,,,실패,
,20 x 1000 x 2100,,,,,,실패,
,20 x 1000 x 2400,,,,,,실패,
,20T x 1000 x 1800,,,,,,실패,
,20T x 1000 x 2120,,,,,,실패,
,20T x 1000 x 2400,,,,,,실패,
,25T x 920 x 2100,,,,,,실패,
,25T x 920 x 2400,,,,,,실패,
,30T x 920 x 1800,,,,,,실패,
,30T x 920 x 2100,,,,,,실패,
,30T x 920 x 2400,,,,,,실패,
(1)300B6미송무45,미송합판 4.5T,,,P0000BKX,미송합판(양면무절)1220 x 2440mm,,성공,
,미송합판 6.5T,,,,,,실패,
,미송합판 9T,,,,,,실패,
,미송합판 12T,,,,,,실패,
,미송합판 15T,,,,,,실패,
,미송합판 18T,,,,,,실패,
,15T x 910 x 2440,,,,,,실패,
,18T x 910 x 2440,,,,,,실패,
,24T x 910 x 2440,,,,,,실패,
,30T x 910 x 2440,,,,,,실패,
,18T x 1220 x 2440,,,,,,실패,
,24T x 1220 x 2440,,,,,,실패,
,30T x 1220 x 2440,,,,,,실패,
,15T x 1200 x 2400,,,,,,실패,
,12T x 910 x 2400,,,,,,실패,
,15T x 910 x 2400,,,,,,실패,
,18T x 910 x 2400,,,,,,실패,
,24T x 910 x 2400,,,,,,실패,
,30T x 910 x 2400,,,,,,실패,
,------------------,,,,,,실패,
,12T x 1220 x 2440,,,,,,실패,
,15T x 1220 x 2440,,,,,,실패,
,18T x 1220 x 2440,,,,,,실패,
,24T X 1220 X 2440,,,,,,실패,
,30T x 1220 x 2440,,,,,,실패,
(1)800아연피스25,6 x 25 (1000pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
(1)800아연피스32,6 x 32 (1000pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
(1)800아연피스38,6 x 38 (500pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
(1)800아연피스50,6 x 50 (500pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
(1)800아연피스65,6 x 65 (300pcs),,,P0000BJT,아연피스 ( 목재용 나팔머리 외날피스 ) 델타,,성공,
